455326,1,6,0.05,0.2,0.1,178931,2026-03-22T21:10:07.745-455326-178931
455326,2,6,0.05,0.2,0.1,686407,2026-03-22T21:10:07.745-455326-686407
455326,3,6,0.05,0.2,0.1,898513,2026-03-22T21:10:07.745-455326-898513
455326,4,6,0.05,0.2,0.1,157933,2026-03-22T21:10:07.745-455326-157933
455326,5,6,0.05,0.2,0.1,250481,2026-03-22T21:10:07.745-455326-250481
455326,6,6,0.05,0.2,0.1,795449,2026-03-22T21:10:07.745-455326-795449
455326,7,6,0.05,0.2,0.1,593077,2026-03-22T21:10:07.745-455326-593077
455326,8,6,0.05,0.2,0.1,210172,2026-03-22T21:10:07.745-455326-210172
455326,9,6,0.05,0.2,0.1,536170,2026-03-22T21:10:07.745-455326-536170
455326,10,6,0.05,0.2,0.1,311204,2026-03-22T21:10:07.745-455326-311204
306470,1,6,0.05,0.2,0.1,994605,2026-03-22T21:10:07.745-306470-994605
306470,2,6,0.05,0.2,0.1,798098,2026-03-22T21:10:07.745-306470-798098
306470,3,6,0.05,0.2,0.1,314489,2026-03-22T21:10:07.745-306470-314489
306470,4,6,0.05,0.2,0.1,490675,2026-03-22T21:10:07.745-306470-490675
306470,5,6,0.05,0.2,0.1,407503,2026-03-22T21:10:07.745-306470-407503
306470,6,6,0.05,0.2,0.1,621794,2026-03-22T21:10:07.745-306470-621794
306470,7,6,0.05,0.2,0.1,930785,2026-03-22T21:10:07.745-306470-930785
306470,8,6,0.05,0.2,0.1,175337,2026-03-22T21:10:07.745-306470-175337
306470,9,6,0.05,0.2,0.1,828007,2026-03-22T21:10:07.745-306470-828007
306470,10,6,0.05,0.2,0.1,818981,2026-03-22T21:10:07.745-306470-818981
868789,1,6,0.05,0.2,0.1,438401,2026-03-22T21:10:07.745-868789-438401
868789,2,6,0.05,0.2,0.1,658963,2026-03-22T21:10:07.745-868789-658963
868789,3,6,0.05,0.2,0.1,105514,2026-03-22T21:10:07.745-868789-105514
868789,4,6,0.05,0.2,0.1,756766,2026-03-22T21:10:07.745-868789-756766
868789,5,6,0.05,0.2,0.1,520663,2026-03-22T21:10:07.745-868789-520663
868789,6,6,0.05,0.2,0.1,442998,2026-03-22T21:10:07.745-868789-442998
868789,7,6,0.05,0.2,0.1,578051,2026-03-22T21:10:07.745-868789-578051
868789,8,6,0.05,0.2,0.1,724892,2026-03-22T21:10:07.745-868789-724892
868789,9,6,0.05,0.2,0.1,771081,2026-03-22T21:10:07.745-868789-771081
868789,10,6,0.05,0.2,0.1,830529,2026-03-22T21:10:07.745-868789-830529
753714,1,6,0.05,0.2,0.1,465151,2026-03-22T21:10:07.745-753714-465151
753714,2,6,0.05,0.2,0.1,58067,2026-03-22T21:10:07.745-753714-58067
753714,3,6,0.05,0.2,0.1,223752,2026-03-22T21:10:07.745-753714-223752
753714,4,6,0.05,0.2,0.1,399695,2026-03-22T21:10:07.745-753714-399695
753714,5,6,0.05,0.2,0.1,296376,2026-03-22T21:10:07.745-753714-296376
753714,6,6,0.05,0.2,0.1,558347,2026-03-22T21:10:07.745-753714-558347
753714,7,6,0.05,0.2,0.1,632033,2026-03-22T21:10:07.745-753714-632033
753714,8,6,0.05,0.2,0.1,981466,2026-03-22T21:10:07.745-753714-981466
753714,9,6,0.05,0.2,0.1,957599,2026-03-22T21:10:07.745-753714-957599
753714,10,6,0.05,0.2,0.1,768610,2026-03-22T21:10:07.745-753714-768610
705391,1,6,0.05,0.2,0.1,59075,2026-03-22T21:10:07.745-705391-59075
705391,2,6,0.05,0.2,0.1,778512,2026-03-22T21:10:07.745-705391-778512
705391,3,6,0.05,0.2,0.1,566772,2026-03-22T21:10:07.745-705391-566772
705391,4,6,0.05,0.2,0.1,350449,2026-03-22T21:10:07.745-705391-350449
705391,5,6,0.05,0.2,0.1,184723,2026-03-22T21:10:07.745-705391-184723
705391,6,6,0.05,0.2,0.1,364714,2026-03-22T21:10:07.745-705391-364714
705391,7,6,0.05,0.2,0.1,712350,2026-03-22T21:10:07.745-705391-712350
705391,8,6,0.05,0.2,0.1,618793,2026-03-22T21:10:07.745-705391-618793
705391,9,6,0.05,0.2,0.1,176694,2026-03-22T21:10:07.745-705391-176694
705391,10,6,0.05,0.2,0.1,308309,2026-03-22T21:10:07.745-705391-308309
455326,1,6,0.05,0.2,0.1,255790,2026-03-22T21:10:07.745-455326-255790
455326,2,6,0.05,0.2,0.1,290955,2026-03-22T21:10:07.745-455326-290955
455326,3,6,0.05,0.2,0.1,791971,2026-03-22T21:10:07.745-455326-791971
455326,4,6,0.05,0.2,0.1,237051,2026-03-22T21:10:07.745-455326-237051
455326,5,6,0.05,0.2,0.1,721534,2026-03-22T21:10:07.745-455326-721534
455326,6,6,0.05,0.2,0.1,370017,2026-03-22T21:10:07.745-455326-370017
455326,7,6,0.05,0.2,0.1,354736,2026-03-22T21:10:07.745-455326-354736
455326,8,6,0.05,0.2,0.1,305895,2026-03-22T21:10:07.745-455326-305895
455326,9,6,0.05,0.2,0.1,279855,2026-03-22T21:10:07.745-455326-279855
455326,10,6,0.05,0.2,0.1,438094,2026-03-22T21:10:07.745-455326-438094
306470,1,6,0.05,0.2,0.1,287963,2026-03-22T21:10:07.745-306470-287963
306470,2,6,0.05,0.2,0.1,287469,2026-03-22T21:10:07.745-306470-287469
306470,3,6,0.05,0.2,0.1,42573,2026-03-22T21:10:07.745-306470-42573
306470,4,6,0.05,0.2,0.1,313174,2026-03-22T21:10:07.745-306470-313174
306470,5,6,0.05,0.2,0.1,565518,2026-03-22T21:10:07.745-306470-565518
306470,6,6,0.05,0.2,0.1,870601,2026-03-22T21:10:07.745-306470-870601
306470,7,6,0.05,0.2,0.1,563582,2026-03-22T21:10:07.745-306470-563582
306470,8,6,0.05,0.2,0.1,48625,2026-03-22T21:10:07.745-306470-48625
306470,9,6,0.05,0.2,0.1,383958,2026-03-22T21:10:07.745-306470-383958
306470,10,6,0.05,0.2,0.1,196187,2026-03-22T21:10:07.745-306470-196187
868789,1,6,0.05,0.2,0.1,137967,2026-03-22T21:10:07.745-868789-137967
868789,2,6,0.05,0.2,0.1,639964,2026-03-22T21:10:07.745-868789-639964
868789,3,6,0.05,0.2,0.1,40103,2026-03-22T21:10:07.745-868789-40103
868789,4,6,0.05,0.2,0.1,183109,2026-03-22T21:10:07.745-868789-183109
868789,5,6,0.05,0.2,0.1,461465,2026-03-22T21:10:07.745-868789-461465
868789,6,6,0.05,0.2,0.1,647926,2026-03-22T21:10:07.745-868789-647926
868789,7,6,0.05,0.2,0.1,403901,2026-03-22T21:10:07.745-868789-403901
868789,8,6,0.05,0.2,0.1,745054,2026-03-22T21:10:07.745-868789-745054
868789,9,6,0.05,0.2,0.1,525259,2026-03-22T21:10:07.745-868789-525259
868789,10,6,0.05,0.2,0.1,768659,2026-03-22T21:10:07.745-868789-768659
753714,1,6,0.05,0.2,0.1,832123,2026-03-22T21:10:07.745-753714-832123
753714,2,6,0.05,0.2,0.1,830732,2026-03-22T21:10:07.745-753714-830732
753714,3,6,0.05,0.2,0.1,49753,2026-03-22T21:10:07.745-753714-49753
753714,4,6,0.05,0.2,0.1,724363,2026-03-22T21:10:07.745-753714-724363
753714,5,6,0.05,0.2,0.1,732895,2026-03-22T21:10:07.745-753714-732895
